
ERROR: 0:36: Use of undeclared identifier 'vNs'
ERROR: 0:37: Use of undeclared identifier 'vEs'
ERROR: 0:39: Use of undeclared identifier 'vMC'
ERROR: 0:40: Use of undeclared identifier 'vMC'
ERROR: 0:40: Use of undeclared identifier 'vMC'
ERROR: 0:42: Use of undeclared identifier 'nvx'
ERROR: 0:42: Use of undeclared identifier 'nvx'
ERROR: 0:42: Use of undeclared identifier 'nvx'
ERROR: 0:42: Use of undeclared identifier 'nvx'
ERROR: 0:43: Use of undeclared identifier 'angx'
ERROR: 0:43: Use of undeclared identifier 'angx'
ERROR: 0:44: Use of undeclared identifier 'angx'
ERROR: 0:46: Use of undeclared identifier 'nvy'
ERROR: 0:46: Use of undeclared identifier 'nvy'
ERROR: 0:46: Use of undeclared identifier 'nvy'
ERROR: 0:46: Use of undeclared identifier 'nvy'
ERROR: 0:47: Use of undeclared identifier 'angy'
ERROR: 0:47: Use of undeclared identifier 'angy'
ERROR: 0:48: Use of undeclared identifier 'angy'
ERROR: 0:50: Use of undeclared identifier 'Normal'
ERROR: 0:50: Use of undeclared identifier 'angx'
ERROR: 0:50: Use of undeclared identifier 'angy'
ERROR: 0:50: Use of undeclared identifier 'Normal'
ERROR: 0:51: Use of undeclared identifier 'Normal'
ERROR: 0:51: Use of undeclared identifier 'Normal'
ERROR: 0:53: Use of undeclared identifier 'Eye'
ERROR: 0:53: Use of undeclared identifier 'Normal'
ERROR: 0:54: Use of undeclared identifier 'uReflectUnit'
ERROR: 0:54: Use of undeclared identifier 'reflectVector'
ERROR: 0:57: Use of undeclared identifier 'Eye'
ERROR: 0:57: Use of undeclared identifier 'Normal'
ERROR: 0:57: Use of undeclared identifier 'uEta'
ERROR: 0:60: Use of undeclared identifier 'refractVector'
ERROR: 0:61: Use of undeclared identifier 'reflectColor'
ERROR: 0:64: Use of undeclared identifier 'uRefractUnit'
ERROR: 0:64: Use of undeclared identifier 'refractVector'
ERROR: 0:65: Use of undeclared identifier 'uWhiteMix'
ERROR: 0:67: Use of undeclared identifier 'reflectColor'
ERROR: 0:67: Use of undeclared identifier 'uMix'
ERROR: 0:68: Use of undeclared identifier 'color'
ERROR: 0:68: Use of undeclared identifier 'color'
ERROR: 0:68: Use of undeclared identifier 'uWhiteMix'
ERROR: 0:69: Use of undeclared identifier 'color'

